2026-06-30 12:20:51 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:21:01 [INFO] poller: temperatur_medium: 25.3175
2026-06-30 12:21:02 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:21:12 [INFO] poller: temperatur_medium: 25.3282
2026-06-30 12:21:12 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:21:22 [INFO] poller: temperatur_medium: 25.3285
2026-06-30 12:21:22 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:21:32 [INFO] poller: temperatur_medium: 25.3189
2026-06-30 12:21:32 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:21:42 [INFO] poller: temperatur_medium: 25.3286
2026-06-30 12:21:42 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:21:52 [INFO] poller: temperatur_medium: 25.3214
2026-06-30 12:21:53 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:22:03 [INFO] poller: temperatur_medium: 25.3177
2026-06-30 12:22:03 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:22:13 [INFO] poller: temperatur_medium: 25.3226
2026-06-30 12:22:13 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:22:23 [INFO] poller: temperatur_medium: 25.3277
2026-06-30 12:22:23 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:22:33 [INFO] poller: temperatur_medium: 25.3251
2026-06-30 12:22:33 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:22:43 [INFO] poller: temperatur_medium: 25.3198
2026-06-30 12:22:44 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:22:54 [INFO] poller: temperatur_medium: 25.3199
2026-06-30 12:22:54 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:23:04 [INFO] poller: temperatur_medium: 25.3206
2026-06-30 12:23:04 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:23:14 [INFO] poller: temperatur_medium: 25.3203
2026-06-30 12:23:14 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:23:24 [INFO] poller: temperatur_medium: 25.3216
2026-06-30 12:23:24 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:23:34 [INFO] poller: temperatur_medium: 25.3269
2026-06-30 12:23:35 [INFO] poller: leitfaehigkeit: 0.2355
2026-06-30 12:23:45 [INFO] poller: temperatur_medium: 25.3140
2026-06-30 12:23:45 [INFO] poller: leitfaehigkeit: 0.2356
2026-06-30 12:23:55 [INFO] poller: temperatur_medium: 25.3190
2026-06-30 12:23:55 [INFO] poller: leitfaehigkeit: 0.2355
2026-06-30 12:24:05 [INFO] poller: temperatur_medium: 25.3187
